A Ashish Reddy,Ammana Ashish Reddy
A Chandila,Ajit Chandila
A Chopra,Aakash Shyamlal Chopra
A Flintoff,Andrew Flintoff
A Kumble,Anil Kumble
A Mishra,Amit Mishra
A Mithun,Abhimanyu Mithun
A Mukund,Abhinav Mukund
A Nehra,Ashish Nehra
A Singh,Amit Singh
A Symonds,Andrew Symonds
A Uniyal,Amit Uniyal
A Zampa,Adam Zampa
AA Bilakhia,Azharuddin Arjun Bilakhia
AA Chavan,Ankeet Anil Chavan
AA Jhunjhunwala,Abhishek Arunkumar Jhunjhunwala
AA Noffke,Ashley Allan Noffke
AB Agarkar,Ajit Bhalchandra Agarkar
AB Barath,Adrian Boris Barath
AB Dinda,Ashok Bhimchandra Dinda
AB McDonald,Andrew Barry McDonald
AB de Villiers,Abraham Benjamin de Villiers
AC Blizzard,Aiden Craig Blizzard
AC Gilchrist,Adam Craig Gilchrist
AC Thomas,Alfonso Clive Thomas
AC Voges,Adam Charles Voges
AD Mascarenhas,Adrian Dimitri Mascarenhas
AD Mathews,Angelo Davis Mathews
AD Nath,Akashdeep Deependra Nath
AD Russell,Andre Dwayne Russell
AG Murtaza,Ali Ghulam Murtaza
AG Paunikar,Amit Gajanan Paunikar
AJ Finch,Aaron James Finch
AL Menaria,Ashok Lakshminarayan Menaria
AM Nayar,Abhishek Mohan Nayar
AM Rahane,Ajinkya Madhukar Rahane
AN Ahmed,Abu Nachim Ahmed
AN Ghosh,Arindam Nanigopal Ghosh
AP Dole,Aditya Pradeep Dole
AP Majumdar,Anustup Prabir Majumdar
AP Tare,Aditya Prakash Tare
AR Patel,Akshar Rajeshbhai Patel
AS Rajpoot,Ankitsingh Rajpoot
AS Raut,Abhishek Santosh Raut
AS Yadav,Arjun Shivlal Yadav
AT Rayudu,Ambati Thirupathi Rayudu
AUK Pathan,Asadullah Khan Pathan
Abdur Razzak,Khan Abdur Razzak
Anirudh Singh,Anirudh Singh
Ankit Sharma,Ankit Nagendra Sharma
Anureet Singh,Kathuria Anureet Singh
Azhar Mahmood,Azhar Mahmood Sagar
B Akhil,Balachandra Akhil
B Chipli,Bharat Chipli
B Kumar,Bhuvneshwar Kumar Singh
B Laughlin,Ben Laughlin
B Lee,Brett Lee
B Sumanth,Bodapati Apparao Sumanth
BA Bhatt,Bhargav Ashokbhai Bhatt
BAW Mendis,Balapuwaduge Ajantha Winslo Mendis
BB McCullum,Brendon Barrie McCullum
BB Samantray,Biplab Bipin Samantray
BB Sran,Barinder Sran
BCJ Cutting,Benjamin Colin James Cutting
BE Hendricks,Beuran Eric Hendricks
BJ Haddin,Bradley James Haddin
BJ Hodge,Bradley John Hodge
BJ Rohrer,Ben James Rohrer
BMAJ Mendis,Balapuwaduge Manukulasuriya Amith Jeewan Mendis
BR Dunk,Ben Robert Dunk
Bipul Sharma,Bipul Sharma
C Madan,Chandan Madan
C Munro,Colin Munro
C Nanda,Chetanya Nanda
CA Ingram,Colin Alexander Ingram
CA Lynn,Christopher Austin Lynn
CA Pujara,Cheteshwar Arvindbhai Pujara
CH Gayle,Christopher Henry Gayle
CH Morris,Christopher Henry Morris
CJ Anderson,Corey James Anderson
CJ Ferguson,Callum James Ferguson
CJ Jordan,Christopher James Jordan
CJ McKay,Clinton James McKay
CK Kapugedera,Chamara Kantha Kapugedera
CK Langeveldt,Charl Kenneth Langeveldt
CL White,Cameron Leon White
CM Gautam,Chidambaram Muralidharan Gautam
CR Brathwaite,Carlos Ricardo Brathwaite
CRD Fernando,Congenige Randhi Dilhara Fernando
D Kalyankrishna,Doddapaneni Kalyankrishna
D Salunkhe,Dinesh Salunkhe
D Wiese,David Wiese
D du Preez,Dillon du Preez
DA Miller,David Andrew Miller
DA Warner,David Andrew Warner
DAJ Bracewell,Douglas Andrew John Bracewell
DB Das,Debabrata Baidya Das
DB Ravi Teja,Dharaka Bhanidipati Ravi Teja
DE Bollinger,Douglas Erwin Bollinger
DH Yagnik,Dishant Harendra Yagnik
DJ Bravo,Dwayne John Bravo
DJ Harris,Daniel Joseph Harris
DJ Hooda,Deepak Hooda
DJ Hussey,David John Hussey
DJ Jacobs,David Johan Jacobs
DJ Muthuswami,Domnic Joseph Muthuswami
DJ Thornely,Dominic John Thornely
DJG Sammy,Darren Julius Garvey Sammy
DL Vettori,Daniel Luca Vettori
DNT Zoysa,Demuni Nuwan Tharanga Zoysa
DP Nannes,Dirk Peter Nannes
DP Vijaykumar,Paidikalva David Vijaykumar
DPMD Jayawardene,Denagamage Proboth Mahela de Silva Jayawardene
DR Martyn,Damien Richard Martyn
DR Smith,Dwayne Romel Smith
DS Kulkarni,Dhawal Sunil Kulkarni
DS Lehmann,Darren Scott Lehmann
DT Christian,Daniel Trevor Christian
DT Patil,Devraj Thyagaraj Patil
DW Steyn,Dale Willem Steyn
EJG Morgan,Eoin Joseph Gerard Morgan
ER Dwivedi,Eklavya Rakesh Dwivedi
F Behardien,Farhaan Behardien
F du Plessis,Francois du Plessis
FH Edwards,Fidel Henderson Edwards
FY Fazal,Faiz Yakub Fazal
G Gambhir,Gautam Gambhir
GB Hogg,George Bradley Hogg
GC Smith,Graeme Craig Smith
GD McGrath,Glenn Donald McGrath
GH Vihari,Gade Hanuma Vihari
GJ Bailey,George John Bailey
GJ Maxwell,Glenn James Maxwell
GR Napier,Graham Richard Napier
Gurkeerat Singh,Gurkeerat Singh Mann
H Das,Halhadar Michu Das
HH Gibbs,Herschelle Herman Gibbs
HH Pandya,Hardik Himanshu Pandya
HM Amla,Hashim Mahomed Amla
HV Patel,Harshal Vikrambhai Patel
Harbhajan Singh,Harbhajan Singh
Harmeet Singh,Harmeet Singh Bansal
Harpreet Singh,Harpreet Singh Bhatia
I Malhotra,Ishan Malhotra
I Sharma,Ishant Sharma
IC Pandey,Ishwar Chand Pandey
IK Pathan,Irfan Khan Pathan
IR Jaggi,Ishank Rajiv Jaggi
Imran Tahir,Mohammad Imran Tahir
Iqbal Abdulla,Sayed Iqbal Abdulla
Ishan Kishan,Ishan Pranavkumarpandey Kishan
J Arunkumar,Jagadeesh Arunkumar
J Botha,Johan Botha
J Suchith,Jagadeesha Suchith
J Syed Mohammad,Jamaluddin Syed Mohammad
J Theron,Juan Theron
J Yadav,Jayant Yadav
JA Morkel,Johannes Albertus Morkel
JC Buttler,Joseph Charles Buttler
JD Ryder,Jesse Daniel Ryder
JD Unadkat,Jaydev Dipakbhai Unadkat
JDP Oram,Jacob David Philip Oram
JDS Neesham,James Douglas Sheehan Neesham
JE Taylor,Jerome Everton Taylor
JEC Franklin,James Edward Charles Franklin
JH Kallis,Jacques Henry Kallis
JJ Bumrah,Jasprit Jasbirsingh Bumrah
JJ van der Wath,Johannes Jacobus van der Wath
JM Kemp,Justin Miles Kemp
JO Holder,Jason Omar Holder
JP Duminy,Jean-Paul Duminy
JP Faulkner,James Peter Faulkner
JR Hopes,James Redfern Hopes
Jaskaran Singh,Jaskaran Singh Butta
Joginder Sharma,Joginder Sharma
K Goel,Karan Goel
K Upadhyay,Krishnakant Rameshwar Upadhyay
KA Pollard,Kieron Adrian Pollard
KAJ Roach,Kemar Andre Jamal Roach
KB Arun Karthik,Konda Bhaskar Arun Karthik
KC Cariappa,Konganda Charamanna Cariappa
KC Sangakkara,Kumar Chokshanada Sangakkara
KD Karthik,Krishankumar Dinesh Karthik
KH Pandya,Krunal Himashu Pandya
KJ Abbott,Kyle John Abbott
KK Cooper,Kevon Keston Cooper
KK Nair,Karun Kaladharan Nair
KL Rahul,Kannur Lokesh Rahul
KM Jadhav,Kedar Mahadeo Jadhav
KMDN Kulasekara,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara
KP Appanna,Kotragada Prabhu Appanna
KP Pietersen,Kevin Peter Pietersen
KS Williamson,Kane Stuart Williamson
KV Sharma,Karn Vinod Sharma
KW Richardson,Kane William Richardson
Kamran Akmal,Kamran Akmal
Kamran Khan,Kamran Khan
Karanveer Singh,Karanveer Singh
L Balaji,Lakshmipathy Balaji
L Ronchi,Luke Ronchi
LA Carseldine,Lee Andrew Carseldine
LA Pomersbach,Luke Anthony Pomersbach
LJ Wright,Luke James Wright
LMP Simmons,Lendl Mark Platter Simmons
LPC Silva,Lindamlilage Prageeth Chamara Silva
LR Shukla,Laxmi Ratan Shukla
LRPL Taylor,Luteru Ross Poutoa Lote Taylor
M Ashwin,Murugan Ashwin
M Kaif,Mohammad Kaif
M Kartik,Murali Kartik
M Klinger,Michael Klinger
M Manhas,Mithun Manhas
M Morkel,Morne Morkel
M Muralitharan,Muttiah Muralitharan
M Ntini,Makhaya Ntini
M Rawat,Mahesh Rawat
M Vijay,Murali Vijay
M Vohra,Manan Vohra
M de Lange,Marchant de Lange
MA Agarwal,Mayank Anurag Agarwal
MA Khote,Musavir Asmat Khote
MA Starc,Mitchell Aaron Starc
MC Henriques,Moises Constantino Henriques
MC Juneja,Manprit Charanjit Juneja
MD Mishra,Mohnish Dinesh Mishra
MDKJ Perera,Mathurage Don Kusal Janith Perera
MEK Hussey,Michael Edward Killeen Hussey
MF Maharoof,Mohamed Farveez Maharoof
MG Johnson,Mitchell Guy Johnson
MJ Clarke,Michael John Clarke
MJ Guptill,Martin James Guptill
MJ Lumb,Michael John Lumb
MJ McClenaghan,Mitchell John McClenaghan
MK Pandey,Manish Krishnanand Pandey
MK Tiwary,Manoj Kumar Tiwary
ML Hayden,Matthew Lawrence Hayden
